review_year,review_month,number_of_reviews
1998,8,1
1998,12,1
1999,1,1
1999,4,5
1999,6,1
1999,7,1
1999,9,1
1999,11,2
1999,12,2
2000,1,6
2000,2,2
2000,3,5
2000,4,9
2000,5,382
2000,6,445
2000,7,311
2000,8,249
2000,9,162
2000,10,217
2000,11,344
2000,12,459
2001,1,451
2001,2,302
2001,3,379
2001,4,328
2001,5,382
2001,6,397
2001,7,489
2001,8,561
2001,9,434
2001,10,540
2001,11,745
2001,12,823
2002,1,869
2002,2,623
2002,3,617
2002,4,521
2002,5,511
2002,6,564
2002,7,656
2002,8,708
2002,9,778
2002,10,892
2002,11,1070
2002,12,1706
2003,1,1744
2003,2,1171
2003,3,1175
2003,4,1057
2003,5,1121
2003,6,977
2003,7,1102
2003,8,1125
2003,9,893
2003,10,1089
2003,11,1330
2003,12,1822
2004,1,1772
2004,2,1303
2004,3,1341
2004,4,1265
2004,5,1233
2004,6,1443
2004,7,1362
2004,8,1127
2004,9,1056
2004,10,1073
2004,11,1192
2004,12,1655
2005,1,1945
2005,2,1437
2005,3,1428
2005,4,1263
2005,5,1324
2005,6,1208
2005,7,1659
2005,8,2890
2005,9,3064
2005,10,2500
2005,11,1949
2005,12,2901
2006,1,3458
2006,2,3969
2006,3,4740
2006,4,997
2006,5,1726
2006,6,2341
2006,7,3388
2006,8,4038
2006,9,1800
2006,10,2174
2006,11,5592
2006,12,3857
2007,1,16134
2007,2,6549
2007,3,8154
2007,4,4540
2007,5,8437
2007,6,5476
2007,7,5972
2007,8,6585
2007,9,6388
2007,10,6291
2007,11,7024
2007,12,10268
2008,1,12203
2008,2,9203
2008,3,7672
2008,4,7647
2008,5,7524
2008,6,7655
2008,7,8395
2008,8,7997
2008,9,8201
2008,10,8512
2008,11,8477
2008,12,11459
2009,1,15833
2009,2,11213
2009,3,10539
2009,4,9985
2009,5,9903
2009,6,9697
2009,7,8180
2009,8,9521
2009,9,11949
2009,10,11121
2009,11,11766
2009,12,15759
2010,1,17152
2010,2,18152
2010,3,15018
2010,4,12898
2010,5,13060
2010,6,12551
2010,7,15144
2010,8,15496
2010,9,17188
2010,10,16902
2010,11,18526
2010,12,24902
2011,1,30158
2011,2,22759
2011,3,23999
2011,4,21638
2011,5,21552
2011,6,21830
2011,7,23892
2011,8,26149
2011,9,27737
2011,10,28063
2011,11,28698
2011,12,39718
2012,1,44314
2012,2,34073
2012,3,33019
2012,4,30439
2012,5,31327
2012,6,30269
2012,7,34252
2012,8,35168
2012,9,38118
2012,10,42604
2012,11,59793
2012,12,119102
2013,1,140829
2013,2,106769
2013,3,109802
2013,4,102851
2013,5,104752
2013,6,100766
2013,7,107543
2013,8,112088
2013,9,98206
2013,10,111918
2013,11,109937
2013,12,159103
2014,1,192677
2014,2,147645
2014,3,153009
2014,4,132410
2014,5,129805
2014,6,134915
2014,7,207780
2014,8,216966
2014,9,211864
2014,10,219151
2014,11,220836
2014,12,301666
2015,1,335534
2015,2,303159
2015,3,314736
2015,4,276211
2015,5,269843
2015,6,277450
2015,7,302770
2015,8,313787
